# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"2563421","2023-03-08 20:54:10","http://36.170.50.206/login.exe","offline","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563421/","abuse_ch"
"2563419","2023-03-08 20:54:04","http://167.88.170.23/btc.wallet.exe","offline","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563419/","abuse_ch"
"2563420","2023-03-08 20:54:04","http://167.88.170.23/55551.exe","offline","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563420/","abuse_ch"
"2563418","2023-03-08 20:53:12","http://ji.jjhia6gy89ee.com/m/ss35.exe","online","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563418/","abuse_ch"
"2563417","2023-03-08 20:52:39","http://112.102.86.239:39471/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563417/","geenensp"
"2563416","2023-03-08 20:51:22","http://88.250.92.210:39589/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563416/","lrz_urlhaus"
"2563415","2023-03-08 20:50:30","http://191.15.171.4:39915/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563415/","lrz_urlhaus"
"2563414","2023-03-08 20:50:29","http://27.45.38.130:45412/Mozi.m","online","None","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563414/","lrz_urlhaus"
"2563413","2023-03-08 20:50:28","http://163.182.243.157:41916/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563413/","lrz_urlhaus"
"2563412","2023-03-08 20:49:40","http://123.5.153.92:60602/Mozi.m","offline","2023-03-09 01:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563412/","lrz_urlhaus"
"2563411","2023-03-08 20:49:33","http://115.50.94.141:40659/i","offline","2023-03-09 00:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563411/","geenensp"
"2563410","2023-03-08 20:49:29","http://117.219.121.67:51847/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563410/","lrz_urlhaus"
"2563406","2023-03-08 20:49:12","http://45.82.71.192/aN7jD0qO6kT5bK5bQ4eR8fE1xP7hL2vK/msvcp140.dll","online","None","malware_download","dll,RecordBreaker","https://urlhaus.abuse.ch/url/2563406/","abuse_ch"
"2563407","2023-03-08 20:49:12","http://45.82.71.192/aN7jD0qO6kT5bK5bQ4eR8fE1xP7hL2vK/softokn3.dll","online","None","malware_download","dll,RecordBreaker","https://urlhaus.abuse.ch/url/2563407/","abuse_ch"
